symptoms,condition,natural_remedy,medicine,advice
"low-grade fever, runny nose, nasal congestion, sneezing, sore throat",Common Cold,honey lemon tea,acetaminophen,"Rest, drink plenty of fluids, and avoid close contact."
"creaking joints, reduced mobility, stiffness, swelling, knee pain",Osteoarthritis Knee,warm compress; turmeric supplements,diclofenac gel,Engage in low-impact exercise and maintain a healthy weight.
"tight neck, scalp tenderness, dull head pain, mild light sensitivity",Tension Headache,warm compress,naproxen,Manage stress and maintain good posture with regular breaks.
"itchy skin, dry patches, rough skin",Eczema Flare,coconut oil,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"severe headache, nausea, rash",Dengue Fever,papaya leaf extract,acetaminophen,Rest under mosquito net and monitor for warning signs of severe dengue.
"chills, chest pain on breathing, cough with phlegm, shortness of breath, fever, fatigue",Pneumonia (Mild),warm fluids; turmeric milk,azithromycin,Complete antibiotics and practice deep breathing exercises.
"cracked skin, itchy skin, red plaques",Psoriasis Flare,omega‑3 fish oil,vitamin D analog,Keep skin moisturized and avoid triggers like stress or smoking.
"reduced smell, headache, nasal congestion, pressure behind eyes, facial pain, thick nasal discharge",Sinusitis,saline rinse; warm compress,nasal corticosteroid,Use a humidifier and stay hydrated to thin mucus.
"creaking joints, pain worse after activity, stiffness, knee pain",Osteoarthritis Knee,warm compress; turmeric supplements,diclofenac gel,Engage in low-impact exercise and maintain a healthy weight.
"nausea, burning stomach pain, bloating, indigestion",Peptic Ulcer,cabbage juice; probiotics,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"sleep changes, fatigue, loss of interest, persistent sadness, appetite change",Mild Depression,sunlight exposure,fluoxetine,Seek counseling and maintain a consistent routine.
"vomiting, nausea, pain near navel, loss of appetite",Appendicitis (Early),ginger tea,ceftriaxone,Seek emergency care; surgery is usually required.
"fatigue, vomiting, diarrhea, fever, nausea, abdominal cramps",Food Poisoning,oral rehydration solution,loperamide,"Rest, rehydrate, and introduce a bland diet like BRAT slowly."
"throbbing headache, sensitivity to light, blurred vision, vomiting, aura, nausea",Migraine,cold compress,ibuprofen,Rest in a dark quiet room and track food or stress triggers.
"chest tightness, fatigue, mild fever, persistent cough, wheezing, mucus production",Bronchitis (Acute),thyme tea; honey lemon drink,dextromethorphan,Avoid smoking and rest your voice while staying hydrated.
"aura, vomiting, blurred vision, sensitivity to light",Migraine,rest in a dark room,ibuprofen,Rest in a dark quiet room and track food or stress triggers.
"tingling, pain radiates below knee, numbness, lower back pain, weakness",Sciatica,yoga stretches,gabapentin,Do regular stretching and avoid prolonged sitting.
"fatigue, decreased urine output, thirst, dark urine",Dehydration,oral rehydration,oral rehydration salts,Increase fluid intake and avoid alcohol or caffeine.
"sleep changes, persistent sadness, loss of interest, feelings of guilt, appetite change",Mild Depression,sunlight exposure; regular exercise,sertraline,Seek counseling and maintain a consistent routine.
"upper abdominal pain, belching, nausea",Indigestion,warm water with lemon,simethicone,Eat smaller meals and avoid spicy or fatty foods.
"scaly patches, red plaques, itchy skin, joint pain, nail pitting, cracked skin",Psoriasis Flare,aloe vera gel,clobetasol,Keep skin moisturized and avoid triggers like stress or smoking.
"lower back pain, pelvic pain, cloudy urine, urgency, burning urination",Urinary Tract Infection,cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"itchy rash, blistering, dry skin, redness, burning sensation",Allergic Dermatitis,aloe vera; oatmeal bath,antihistamine,"Identify and avoid the irritant, and keep skin moisturized."
"persistent sadness, appetite change, feelings of guilt, sleep changes, loss of interest, fatigue",Mild Depression,sunlight exposure,fluoxetine,Seek counseling and maintain a consistent routine.
"shortness of breath, wheezing, chest tightness",Asthma Exacerbation,breathing exercises; ginger tea,albuterol inhaler,Use inhaler as prescribed and avoid known triggers.
"muscle spasms, stiffness, limited range of motion",Back Strain,heat therapy; Epsom salt bath,cyclobenzaprine,Practice proper lifting techniques and perform core-strengthening exercises.
"itchy skin, rough skin, inflammation, red rash, dry patches, small bumps",Eczema Flare,coconut oil,cetirizine,Moisturize daily and avoid harsh soaps or detergents.
"decreased urine output, dry mouth, thirst, fatigue",Dehydration,coconut water,IV fluids,Increase fluid intake and avoid alcohol or caffeine.
"loss of appetite, vomiting, pain near navel, abdominal pain, nausea",Appendicitis (Early),ginger tea; warm compress,ceftriaxone,Seek emergency care; surgery is usually required.
"shooting leg pain, pain radiates below knee, tingling",Sciatica,turmeric milk,naproxen,Do regular stretching and avoid prolonged sitting.
"fatigue, feelings of guilt, loss of interest",Mild Depression,sunlight exposure,sertraline,Seek counseling and maintain a consistent routine.
"runny nose, watery eyes, post-nasal drip, sneezing, nasal congestion",Seasonal Allergy,local honey; nettle tea,loratadine,Avoid pollen exposure and keep windows closed during high pollen counts.
"numbness, tingling, weakness, shooting leg pain, pain radiates below knee",Sciatica,cold and heat therapy; yoga stretches,gabapentin,Do regular stretching and avoid prolonged sitting.
"appetite change, fatigue, feelings of guilt",Mild Depression,sunlight exposure,sertraline,Seek counseling and maintain a consistent routine.
"runny nose, sneezing, post-nasal drip, itchy eyes",Seasonal Allergy,nettle tea,cetirizine,Avoid pollen exposure and keep windows closed during high pollen counts.
"loss of appetite, pain near navel, abdominal pain",Appendicitis (Early),ginger tea; warm compress,acetaminophen,Seek emergency care; surgery is usually required.
"dry patches, red rash, inflammation, itchy skin, rough skin, small bumps",Eczema Flare,oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"nausea, rapid pulse, weakness",Heat Exhaustion,rest in shade,IV fluids,Move to a cool area and sip water or an electrolyte drink.
"persistent cough, mild fever, chest tightness, wheezing",Bronchitis (Acute),honey lemon drink,dextromethorphan,Avoid smoking and rest your voice while staying hydrated.
"runny nose, mild cough, low-grade fever, sneezing, nasal congestion",Common Cold,saltwater gargle,pseudoephedrine,Use a humidifier and keep the head elevated while sleeping.
"headache, body aches, chills, high fever, fatigue",Influenza,ginger herbal tea; chicken soup,acetaminophen,"Stay home, rest, and hydrate well. Begin antiviral treatment within 48 hours if prescribed."
"heat intolerance, palpitations, weight loss, tremor",Hyperthyroidism,lemon balm tea,propranolol,Get regular thyroid tests and avoid excess iodine-rich food.
"increased appetite, palpitations, heat intolerance, weight loss",Hyperthyroidism,avoid caffeine,propranolol,Get regular thyroid tests and avoid excess iodine-rich food.
"dull head pain, shoulder tension, scalp tenderness",Tension Headache,warm compress,naproxen,Manage stress and maintain good posture with regular breaks.
"pressure behind eyes, nasal congestion, headache, thick nasal discharge, reduced smell, facial pain",Sinusitis,steam inhalation; warm compress,nasal corticosteroid,Use a humidifier and stay hydrated to thin mucus.
"facial pain, pressure behind eyes, thick nasal discharge, reduced smell, nasal congestion, headache",Sinusitis,steam inhalation,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"red rash, dry patches, small bumps, inflammation, rough skin, itchy skin",Eczema Flare,coconut oil,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"dry cough, fatigue, sore throat, loss of smell, fever, body aches",COVID‑19 (Mild),steam inhalation; warm fluids,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"vomiting, frequent urination, sweating, severe flank pain, nausea, hematuria",Kidney Stones,basil tea; lemon water,tamsulosin,Drink plenty of water and strain urine to collect stones if possible.
"loss of appetite, headache, fatigue, raised bumps, itchy rash, fever",Chickenpox,calamine lotion,acyclovir,Keep fingernails short and avoid scratching lesions.
"fatigue, chest tightness, mucus production",Bronchitis (Acute),thyme tea; honey lemon drink,dextromethorphan,Avoid smoking and rest your voice while staying hydrated.
"high fever, severe headache, pain behind eyes",Dengue Fever,papaya leaf extract,acetaminophen,Rest under mosquito net and monitor for warning signs of severe dengue.
"vomiting, frequent urination, sweating, severe flank pain, nausea",Kidney Stones,basil tea; lemon water,tamsulosin,Drink plenty of water and strain urine to collect stones if possible.
"reduced smell, headache, pressure behind eyes",Sinusitis,saline rinse,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"right upper abdomen pain, shoulder pain, bloating",Gallstones,dandelion tea,ursodeoxycholic acid,Follow a low-fat diet and maintain a healthy weight.
"swollen eyelids, tearing, discharge, itching, gritty feeling, red eyes",Conjunctivitis (Pink Eye),warm compress,artificial tears,Avoid touching eyes and wash hands frequently.
"numbness, tingling, lower back pain, weakness, shooting leg pain, pain radiates below knee",Sciatica,cold and heat therapy,naproxen,Do regular stretching and avoid prolonged sitting.
"severe headache, high fever, nausea, joint pain, rash, pain behind eyes",Dengue Fever,papaya leaf extract; hydration,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"red plaques, nail pitting, joint pain, itchy skin, scaly patches",Psoriasis Flare,aloe vera gel; omega‑3 fish oil,vitamin D analog,Keep skin moisturized and avoid triggers like stress or smoking.
"aura, blurred vision, sensitivity to light",Migraine,rest in a dark room,ibuprofen,Rest in a dark quiet room and track food or stress triggers.
"alternating diarrhea and constipation, mucus in stool, abdominal pain, gas, cramping",Irritable Bowel Syndrome,soluble fiber,dicyclomine,Follow a low-FODMAP diet and manage stress.
"swelling, dry skin, itchy rash",Allergic Dermatitis,oatmeal bath; aloe vera,antihistamine,"Identify and avoid the irritant, and keep skin moisturized."
"chest tightness, shortness of breath, wheezing, anxiety, rapid breathing",Asthma Exacerbation,breathing exercises; ginger tea,albuterol inhaler,Use inhaler as prescribed and avoid known triggers.
"shortness of breath, dizziness, fatigue",Anemia (Iron Deficiency),spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"vomiting, fatigue, abdominal cramps, nausea, fever",Food Poisoning,plain yogurt,loperamide,"Rest, rehydrate, and introduce a bland diet like BRAT slowly."
"dry patches, red rash, rough skin, itchy skin",Eczema Flare,coconut oil,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"low-grade fever, pain near navel, vomiting, abdominal pain",Appendicitis (Early),warm compress; ginger tea,acetaminophen,Seek emergency care; surgery is usually required.
"fatigue, weight gain, dry skin",Hypothyroidism,selenium (Brazil nuts); iodine-rich foods,levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"joint pain, itchy skin, red plaques, cracked skin, nail pitting, scaly patches",Psoriasis Flare,omega‑3 fish oil; aloe vera gel,vitamin D analog,Keep skin moisturized and avoid triggers like stress or smoking.
"sour taste, chronic cough, acid regurgitation, chest discomfort, hoarseness",Gastroesophageal Reflux Disease (GERD),ginger tea; elevate head while sleeping,antacid,Avoid large meals and do not lie down immediately after eating.
"blurry vision, nosebleeds, dizziness, shortness of breath",Hypertension,meditation,amlodipine,"Reduce salt intake, stay active, and monitor blood pressure."
"runny nose, mild cough, low-grade fever, nasal congestion, sneezing, sore throat",Common Cold,steam inhalation,ibuprofen,Use a humidifier and keep the head elevated while sleeping.
"shooting leg pain, weakness, pain radiates below knee",Sciatica,turmeric milk,naproxen,Do regular stretching and avoid prolonged sitting.
"early fullness, bloating, belching",Indigestion,ginger tea,antacid,Eat smaller meals and avoid spicy or fatty foods.
"rapid heartbeat, fatigue, dizziness, pale skin, shortness of breath, brittle nails",Anemia (Iron Deficiency),spinach smoothie; blackstrap molasses,ferrous sulfate,Increase dietary iron and take supplements as directed.
"itchy skin, scaly patches, nail pitting, red plaques, cracked skin, joint pain",Psoriasis Flare,omega‑3 fish oil,clobetasol,Keep skin moisturized and avoid triggers like stress or smoking.
"limited range of motion, lower back pain, pain worse with bending, stiffness, muscle spasms",Back Strain,gentle stretching,cyclobenzaprine,Practice proper lifting techniques and perform core-strengthening exercises.
"throbbing headache, aura, sensitivity to light",Migraine,cold compress; peppermint oil,sumatriptan,Rest in a dark quiet room and track food or stress triggers.
"sensitivity to light, nausea, vomiting, aura, throbbing headache, blurred vision",Migraine,peppermint oil; rest in a dark room,sumatriptan,Rest in a dark quiet room and track food or stress triggers.
"low-grade fever, sore throat, runny nose, nasal congestion, sneezing, mild cough",Common Cold,honey lemon tea; saltwater gargle,pseudoephedrine,"Rest, drink plenty of fluids, and avoid close contact."
"itchy skin, rough skin, dry patches, small bumps, inflammation",Eczema Flare,oatmeal bath,cetirizine,Moisturize daily and avoid harsh soaps or detergents.
"burning urination, cloudy urine, pelvic pain, lower back pain, frequent urination, urgency",Urinary Tract Infection,cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"loss of appetite, raised bumps, itchy rash, fatigue",Chickenpox,calamine lotion; oatmeal bath,acyclovir,Keep fingernails short and avoid scratching lesions.
"fever, cough with phlegm, chills",Pneumonia (Mild),warm fluids,amoxicillin,Complete antibiotics and practice deep breathing exercises.
"itchy rash, raised bumps, fever, loss of appetite",Chickenpox,calamine lotion,acyclovir,Keep fingernails short and avoid scratching lesions.
"diarrhea, abdominal cramps, vomiting",Food Poisoning,ginger tea,loperamide,"Rest, rehydrate, and introduce a bland diet like BRAT slowly."
"sour taste, chronic cough, chest discomfort",Gastroesophageal Reflux Disease (GERD),ginger tea,antacid,Avoid large meals and do not lie down immediately after eating.
"excessive worry, difficulty concentrating, restlessness, sweating, irritability",Anxiety Disorder,deep breathing,alprazolam,"Practice mindfulness, and engage in regular physical activity."
"bloating, belching, mild heartburn, nausea, early fullness",Indigestion,peppermint tea,antacid,Eat smaller meals and avoid spicy or fatty foods.
"fatigue, nausea, fever",Food Poisoning,oral rehydration solution,oral rehydration salts,"Rest, rehydrate, and introduce a bland diet like BRAT slowly."
"sneezing, runny nose, nasal congestion",Common Cold,steam inhalation; honey lemon tea,pseudoephedrine,"Rest, drink plenty of fluids, and avoid close contact."
"pain worse after activity, swelling, reduced mobility, stiffness",Osteoarthritis Knee,turmeric supplements,acetaminophen,Engage in low-impact exercise and maintain a healthy weight.
"nausea, joint pain, pain behind eyes",Dengue Fever,papaya leaf extract; hydration,acetaminophen,Rest under mosquito net and monitor for warning signs of severe dengue.
"dizziness, dark urine, dry mouth",Dehydration,oral rehydration; coconut water,oral rehydration salts,Increase fluid intake and avoid alcohol or caffeine.
"mild heartburn, belching, early fullness, upper abdominal pain",Indigestion,warm water with lemon,antacid,Eat smaller meals and avoid spicy or fatty foods.
"red rash, rough skin, dry patches, inflammation, small bumps",Eczema Flare,oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"low-grade fever, nausea, watery diarrhea",Gastroenteritis,oral rehydration,oral rehydration salts,Hydrate continuously and gradually reintroduce bland foods.
"feelings of guilt, fatigue, loss of interest, persistent sadness",Mild Depression,sunlight exposure; regular exercise,fluoxetine,Seek counseling and maintain a consistent routine.
"lower back pain, shooting leg pain, tingling, numbness, pain radiates below knee, weakness",Sciatica,cold and heat therapy; turmeric milk,gabapentin,Do regular stretching and avoid prolonged sitting.
"red plaques, joint pain, nail pitting, itchy skin, cracked skin",Psoriasis Flare,aloe vera gel; omega‑3 fish oil,clobetasol,Keep skin moisturized and avoid triggers like stress or smoking.
"nausea, heartburn, burning stomach pain",Peptic Ulcer,probiotics; cabbage juice,omeprazole,Avoid NSAIDs and eat at regular intervals.
"slow healing wounds, frequent urination, tingling feet, fatigue, increased thirst",Type 2 Diabetes,fenugreek seeds,glipizide,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"loss of appetite, fatigue, itchy rash, headache, fever, raised bumps",Chickenpox,calamine lotion,calamine lotion,Keep fingernails short and avoid scratching lesions.
"headache, itchy rash, loss of appetite, raised bumps",Chickenpox,calamine lotion,acyclovir,Keep fingernails short and avoid scratching lesions.
"fatigue, thirst, decreased urine output, dry mouth, dizziness, dark urine",Dehydration,coconut water,oral rehydration salts,Increase fluid intake and avoid alcohol or caffeine.
"shortness of breath, wheezing, rapid breathing, anxiety, chest tightness",Asthma Exacerbation,ginger tea,albuterol inhaler,Use inhaler as prescribed and avoid known triggers.
"headache, swollen lymph nodes, painful swallowing, white patches",Strep Throat,saltwater gargle; honey lemon tea,amoxicillin,Finish antibiotics and replace your toothbrush after recovery.
"dark urine, fatigue, decreased urine output",Dehydration,oral rehydration,IV fluids,Increase fluid intake and avoid alcohol or caffeine.
"heavy sweating, headache, nausea, weakness, dizziness",Heat Exhaustion,rest in shade,IV fluids,Move to a cool area and sip water or an electrolyte drink.
"shoulder pain, nausea, jaundice",Gallstones,apple cider vinegar; dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"fatigue, tingling feet, blurred vision, frequent urination, increased thirst",Type 2 Diabetes,fenugreek seeds,glipizide,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"rash, pain behind eyes, joint pain",Dengue Fever,hydration; papaya leaf extract,acetaminophen,Rest under mosquito net and monitor for warning signs of severe dengue.
"pressure behind eyes, nasal congestion, thick nasal discharge",Sinusitis,steam inhalation,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"belching, bloating, early fullness, nausea",Indigestion,peppermint tea,simethicone,Eat smaller meals and avoid spicy or fatty foods.
"loss of smell, body aches, fever, dry cough, sore throat",COVID‑19 (Mild),steam inhalation,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"feelings of guilt, fatigue, sleep changes, appetite change, loss of interest",Mild Depression,regular exercise; sunlight exposure,sertraline,Seek counseling and maintain a consistent routine.
"dry skin, cold intolerance, constipation, fatigue",Hypothyroidism,selenium (Brazil nuts),levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"dehydration, nausea, stomach cramps, watery diarrhea",Gastroenteritis,ginger tea,bismuth subsalicylate,Hydrate continuously and gradually reintroduce bland foods.
"headache, nosebleeds, dizziness",Hypertension,reduce salt; meditation,amlodipine,"Reduce salt intake, stay active, and monitor blood pressure."
"jaundice, bloating, shoulder pain",Gallstones,dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"severe flank pain, sweating, vomiting, hematuria, frequent urination",Kidney Stones,basil tea; lemon water,ibuprofen,Drink plenty of water and strain urine to collect stones if possible.
"shortness of breath, brittle nails, pale skin, rapid heartbeat, dizziness, fatigue",Anemia (Iron Deficiency),blackstrap molasses,ferrous sulfate,Increase dietary iron and take supplements as directed.
"bloating, right upper abdomen pain, vomiting",Gallstones,dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"mild fever, chest tightness, wheezing",Bronchitis (Acute),thyme tea; honey lemon drink,albuterol inhaler,Avoid smoking and rest your voice while staying hydrated.
"nasal congestion, pressure behind eyes, thick nasal discharge, reduced smell, facial pain, headache",Sinusitis,steam inhalation; saline rinse,nasal corticosteroid,Use a humidifier and stay hydrated to thin mucus.
"dry patches, inflammation, small bumps",Eczema Flare,coconut oil; oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"fatigue, loss of interest, sleep changes, feelings of guilt, appetite change, persistent sadness",Mild Depression,sunlight exposure,fluoxetine,Seek counseling and maintain a consistent routine.
"fever, sore throat, loss of smell, body aches, fatigue",COVID‑19 (Mild),warm fluids; steam inhalation,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"heartburn, vomiting, indigestion, bloating",Peptic Ulcer,cabbage juice; probiotics,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"nausea, right upper abdomen pain, shoulder pain, vomiting, jaundice, bloating",Gallstones,apple cider vinegar; dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"high fever, nausea, joint pain, severe headache",Dengue Fever,hydration,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"slow heart rate, fatigue, cold intolerance, dry skin, constipation, weight gain",Hypothyroidism,iodine-rich foods,levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"fever, painful swallowing, sore throat, white patches",Strep Throat,honey lemon tea; saltwater gargle,penicillin,Finish antibiotics and replace your toothbrush after recovery.
"brittle nails, pale skin, rapid heartbeat",Anemia (Iron Deficiency),spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"lower back pain, cloudy urine, burning urination, urgency, frequent urination",Urinary Tract Infection,cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"rough skin, dry patches, red rash, itchy skin, small bumps, inflammation",Eczema Flare,oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"sore throat, painful swallowing, headache",Strep Throat,honey lemon tea; saltwater gargle,amoxicillin,Finish antibiotics and replace your toothbrush after recovery.
"fever, irritability, ear pain, hearing loss, fluid drainage",Otitis Media,warm compress,amoxicillin,Finish antibiotics and keep ears dry while healing.
"frequent urination, lower back pain, burning urination, urgency",Urinary Tract Infection,cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"itching, red eyes, gritty feeling",Conjunctivitis (Pink Eye),saline eye rinse,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"sensitivity to light, throbbing headache, aura",Migraine,rest in a dark room,sumatriptan,Rest in a dark quiet room and track food or stress triggers.
"muscle spasms, lower back pain, limited range of motion, pain worse with bending, stiffness",Back Strain,gentle stretching; heat therapy,ibuprofen,Practice proper lifting techniques and perform core-strengthening exercises.
"chronic cough, chest discomfort, hoarseness",Gastroesophageal Reflux Disease (GERD),ginger tea; chewing gum,omeprazole,Avoid large meals and do not lie down immediately after eating.
"dizziness, rapid pulse, weakness, nausea, heavy sweating, headache",Heat Exhaustion,rest in shade; cool fluids,electrolyte solution,Move to a cool area and sip water or an electrolyte drink.
"fatigue, persistent sadness, sleep changes",Mild Depression,sunlight exposure,sertraline,Seek counseling and maintain a consistent routine.
"fatigue, shortness of breath, dizziness",Anemia (Iron Deficiency),blackstrap molasses,ferrous sulfate,Increase dietary iron and take supplements as directed.
"pain near navel, low-grade fever, nausea, loss of appetite, vomiting",Appendicitis (Early),ginger tea; warm compress,ceftriaxone,Seek emergency care; surgery is usually required.
"itchy skin, rough skin, inflammation, red rash",Eczema Flare,oatmeal bath; coconut oil,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"irritability, restlessness, excessive worry",Anxiety Disorder,deep breathing; chamomile tea,sertraline,"Practice mindfulness, and engage in regular physical activity."
"belching, mild heartburn, nausea, early fullness",Indigestion,warm water with lemon; peppermint tea,simethicone,Eat smaller meals and avoid spicy or fatty foods.
"low-grade fever, vomiting, loss of appetite, abdominal pain, nausea, pain near navel",Appendicitis (Early),ginger tea,acetaminophen,Seek emergency care; surgery is usually required.
"increased thirst, tingling feet, slow healing wounds, blurred vision",Type 2 Diabetes,brisk walking; cinnamon,metformin,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"nausea, loss of appetite, abdominal pain, low-grade fever, pain near navel",Appendicitis (Early),warm compress; ginger tea,acetaminophen,Seek emergency care; surgery is usually required.
"rapid pulse, dizziness, heavy sweating, nausea, weakness",Heat Exhaustion,rest in shade,IV fluids,Move to a cool area and sip water or an electrolyte drink.
"joint pain, scaly patches, cracked skin, nail pitting, red plaques, itchy skin",Psoriasis Flare,omega‑3 fish oil; aloe vera gel,vitamin D analog,Keep skin moisturized and avoid triggers like stress or smoking.
"pain behind eyes, rash, nausea",Dengue Fever,papaya leaf extract; hydration,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"pain behind eyes, joint pain, nausea, severe headache, high fever, rash",Dengue Fever,papaya leaf extract,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"raised bumps, fatigue, loss of appetite",Chickenpox,calamine lotion,calamine lotion,Keep fingernails short and avoid scratching lesions.
"persistent sadness, loss of interest, appetite change, feelings of guilt, sleep changes",Mild Depression,sunlight exposure,sertraline,Seek counseling and maintain a consistent routine.
"cough with phlegm, shortness of breath, fever, fatigue",Pneumonia (Mild),turmeric milk; warm fluids,amoxicillin,Complete antibiotics and practice deep breathing exercises.
"fatigue, loss of smell, sore throat",COVID‑19 (Mild),steam inhalation; warm fluids,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"shortness of breath, fever, chest pain on breathing, fatigue, chills, cough with phlegm",Pneumonia (Mild),warm fluids; turmeric milk,azithromycin,Complete antibiotics and practice deep breathing exercises.
"fatigue, shortness of breath, dizziness, rapid heartbeat, brittle nails",Anemia (Iron Deficiency),blackstrap molasses,ferrous sulfate,Increase dietary iron and take supplements as directed.
"indigestion, heartburn, nausea, burning stomach pain, bloating, vomiting",Peptic Ulcer,probiotics; cabbage juice,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"slow heart rate, constipation, weight gain, fatigue, cold intolerance, dry skin",Hypothyroidism,selenium (Brazil nuts),levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"bloating, heartburn, nausea",Peptic Ulcer,cabbage juice; probiotics,omeprazole,Avoid NSAIDs and eat at regular intervals.
"tearing, red eyes, itching, discharge, swollen eyelids, gritty feeling",Conjunctivitis (Pink Eye),saline eye rinse,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"dizziness, fatigue, headache",Hypertension,reduce salt,lisinopril,"Reduce salt intake, stay active, and monitor blood pressure."
"vomiting, right upper abdomen pain, nausea, shoulder pain, jaundice, bloating",Gallstones,dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"throbbing headache, vomiting, aura, nausea, sensitivity to light, blurred vision",Migraine,peppermint oil; cold compress,ibuprofen,Rest in a dark quiet room and track food or stress triggers.
"blurry vision, fatigue, headache",Hypertension,reduce salt; hibiscus tea,amlodipine,"Reduce salt intake, stay active, and monitor blood pressure."
"mild fever, fatigue, chest tightness, wheezing, persistent cough",Bronchitis (Acute),thyme tea,albuterol inhaler,Avoid smoking and rest your voice while staying hydrated.
"tremor, palpitations, weight loss, heat intolerance, anxiety, increased appetite",Hyperthyroidism,avoid caffeine; lemon balm tea,methimazole,Get regular thyroid tests and avoid excess iodine-rich food.
"alternating diarrhea and constipation, gas, mucus in stool, abdominal pain, cramping",Irritable Bowel Syndrome,yoga,dicyclomine,Follow a low-FODMAP diet and manage stress.
"bloating, jaundice, right upper abdomen pain, shoulder pain, vomiting, nausea",Gallstones,apple cider vinegar; dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"thick nasal discharge, nasal congestion, reduced smell, pressure behind eyes",Sinusitis,warm compress; saline rinse,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"pressure behind eyes, headache, thick nasal discharge, reduced smell, nasal congestion, facial pain",Sinusitis,warm compress,nasal corticosteroid,Use a humidifier and stay hydrated to thin mucus.
"rapid breathing, anxiety, chest tightness, shortness of breath, wheezing, coughing",Asthma Exacerbation,ginger tea,albuterol inhaler,Use inhaler as prescribed and avoid known triggers.
"irritability, racing heart, difficulty concentrating, sweating",Anxiety Disorder,deep breathing,sertraline,"Practice mindfulness, and engage in regular physical activity."
"dizziness, fatigue, dark urine, dry mouth",Dehydration,oral rehydration; coconut water,oral rehydration salts,Increase fluid intake and avoid alcohol or caffeine.
"fatigue, dizziness, shortness of breath, rapid heartbeat",Anemia (Iron Deficiency),blackstrap molasses; spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"right upper abdomen pain, vomiting, nausea, shoulder pain",Gallstones,apple cider vinegar,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"nausea, abdominal pain, loss of appetite, vomiting, low-grade fever",Appendicitis (Early),ginger tea,acetaminophen,Seek emergency care; surgery is usually required.
"mild heartburn, bloating, early fullness, belching",Indigestion,warm water with lemon; peppermint tea,simethicone,Eat smaller meals and avoid spicy or fatty foods.
"gritty feeling, itching, tearing, discharge",Conjunctivitis (Pink Eye),saline eye rinse,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"gas, cramping, bloating",Irritable Bowel Syndrome,peppermint oil capsules; soluble fiber,loperamide,Follow a low-FODMAP diet and manage stress.
"sneezing, nasal congestion, sore throat, mild cough, runny nose, low-grade fever",Common Cold,steam inhalation; honey lemon tea,acetaminophen,"Rest, drink plenty of fluids, and avoid close contact."
